"ID";"Leefomgeving";"Persoonskenmerken";"Perioden";"NietZoGelukkig_1";"Gelukkig_2";"NietZoTevredenMetHetLeven_3";"TevredenMetHetLeven_4"
"188";"18550";"12650";"2010JJ00";"       .";"       .";"       .";"       ."
"189";"18550";"12650";"2012JJ00";"       .";"       .";"       .";"       ."
"190";"18550";"13000";"2003JJ00";"      33";"      67";"      28";"      72"
"191";"18550";"13000";"2004JJ00";"      30";"      70";"      31";"      69"
"192";"18550";"13000";"2005JJ00";"      33";"      67";"      28";"      72"
"193";"18550";"13000";"2006JJ00";"      23";"      77";"      30";"      70"
"194";"18550";"13000";"2007JJ00";"      29";"      71";"      23";"      77"
"195";"18550";"13000";"2008JJ00";"      21";"      79";"      16";"      84"
"196";"18550";"13000";"2009JJ00";"      21";"      79";"      24";"      76"
"197";"18550";"13000";"2010XX00";"      21";"      79";"      27";"      73"
"198";"18550";"13000";"2010JJ00";"      24";"      76";"      20";"      80"
"199";"18550";"13000";"2012JJ00";"       .";"       .";"       .";"       ."
"200";"18900";"10001";"2003JJ00";"      14";"      86";"      14";"      86"
"201";"18900";"10001";"2004JJ00";"      14";"      86";"      14";"      86"
"202";"18900";"10001";"2005JJ00";"      15";"      85";"      17";"      83"
"203";"18900";"10001";"2006JJ00";"      12";"      88";"      14";"      86"
"204";"18900";"10001";"2007JJ00";"      12";"      88";"      13";"      87"
"205";"18900";"10001";"2008JJ00";"      14";"      86";"      14";"      86"
"206";"18900";"10001";"2009JJ00";"      12";"      88";"      14";"      86"
"207";"18900";"10001";"2010XX00";"      14";"      86";"      15";"      85"
"208";"18900";"10001";"2010JJ00";"      16";"      84";"      16";"      84"
"209";"18900";"10001";"2012JJ00";"      19";"      81";"      18";"      82"
"210";"18900";"15400";"2003JJ00";"      14";"      86";"      14";"      86"
"211";"18900";"15400";"2004JJ00";"      13";"      87";"      13";"      87"
"212";"18900";"15400";"2005JJ00";"      14";"      86";"      17";"      83"
"213";"18900";"15400";"2006JJ00";"      11";"      89";"      13";"      87"
"214";"18900";"15400";"2007JJ00";"      11";"      89";"      12";"      88"
"215";"18900";"15400";"2008JJ00";"      13";"      87";"      12";"      88"
"216";"18900";"15400";"2009JJ00";"      10";"      90";"      13";"      87"
"217";"18900";"15400";"2010XX00";"      12";"      88";"      13";"      87"
"218";"18900";"15400";"2010JJ00";"      14";"      86";"      14";"      86"
"219";"18900";"15400";"2012JJ00";"      20";"      80";"      18";"      82"
"220";"18900";"15450";"2003JJ00";"      14";"      86";"      14";"      86"
"221";"18900";"15450";"2004JJ00";"      15";"      85";"      16";"      84"
"222";"18900";"15450";"2005JJ00";"      15";"      85";"      16";"      84"
"223";"18900";"15450";"2006JJ00";"      13";"      87";"      14";"      86"
"224";"18900";"15450";"2007JJ00";"      14";"      86";"      13";"      87"
"225";"18900";"15450";"2008JJ00";"      14";"      86";"      15";"      85"
"226";"18900";"15450";"2009JJ00";"      14";"      86";"      15";"      85"
"227";"18900";"15450";"2010XX00";"      16";"      84";"      17";"      83"
"228";"18900";"15450";"2010JJ00";"      19";"      81";"      17";"      83"
"229";"18900";"15450";"2012JJ00";"      19";"      81";"      18";"      82"
"230";"18900";"53110";"2003JJ00";"      11";"      89";"      12";"      88"
"231";"18900";"53110";"2004JJ00";"      12";"      88";"      14";"      86"
"232";"18900";"53110";"2005JJ00";"      12";"      88";"      17";"      83"
"233";"18900";"53110";"2006JJ00";"       9";"      91";"      11";"      89"
"234";"18900";"53110";"2007JJ00";"       9";"      91";"       8";"      92"
"235";"18900";"53110";"2008JJ00";"       7";"      93";"      11";"      89"
"236";"18900";"53110";"2009JJ00";"      10";"      90";"      12";"      88"
"237";"18900";"53110";"2010XX00";"       9";"      91";"      12";"      88"
"238";"18900";"53110";"2010JJ00";"      15";"      85";"      16";"      84"
"239";"18900";"53110";"2012JJ00";"      14";"      86";"      16";"      84"
"240";"18900";"53705";"2003JJ00";"      12";"      88";"      15";"      85"
"241";"18900";"53705";"2004JJ00";"      13";"      87";"      14";"      86"
"242";"18900";"53705";"2005JJ00";"      13";"      87";"      16";"      84"
"243";"18900";"53705";"2006JJ00";"      11";"      89";"      16";"      84"
"244";"18900";"53705";"2007JJ00";"      11";"      89";"      14";"      86"
"245";"18900";"53705";"2008JJ00";"      18";"      82";"      16";"      84"
"246";"18900";"53705";"2009JJ00";"      10";"      90";"      14";"      86"
"247";"18900";"53705";"2010XX00";"      15";"      85";"      15";"      85"
"248";"18900";"53705";"2010JJ00";"      15";"      85";"      15";"      85"
"249";"18900";"53705";"2012JJ00";"      17";"      83";"      16";"      84"
"250";"18900";"53850";"2003JJ00";"      16";"      84";"      14";"      86"
"251";"18900";"53850";"2004JJ00";"      16";"      84";"      16";"      84"
"252";"18900";"53850";"2005JJ00";"      16";"      84";"      19";"      81"
"253";"18900";"53850";"2006JJ00";"      13";"      87";"      14";"      86"
"254";"18900";"53850";"2007JJ00";"      14";"      86";"      16";"      84"
"255";"18900";"53850";"2008JJ00";"      14";"      86";"      14";"      86"
"256";"18900";"53850";"2009JJ00";"      13";"      87";"      16";"      84"
"257";"18900";"53850";"2010XX00";"      15";"      85";"      16";"      84"
"258";"18900";"53850";"2010JJ00";"      19";"      81";"      15";"      85"
